subject_folder	csv_path	trial_index_csv	trigger	category	show_image_duration_s	image_stimulus_duration_s	pre_fixation_s	post_image_delay_s	image_onset_interval_s
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	87	1133	cockatoo	3.990794199999982		1.891585400000622	0.24946860000000015	5.8970085999999355
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	88	1002	pea	3.9891775999994934	3.993083800000022	1.66344509999999	0.24990280000110943	5.985628400000678
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	89	1135	pony	3.990284499998779		1.7527701000008165	0.2494252000005872	6.064758699999402
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	90	1125	sundae	3.9879967999995642	3.9907696000000215	1.8316690000001472	0.24944140000025072	5.832566799999768
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	91	1124	nightshirt	3.9816649000003963		1.6019679999999425	0.2507096999997884	5.800013700000818
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	92	1140	kayak	3.9873977999995986		1.5752522000011595	0.24976609999976063	5.834511099998963
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	93	1059	zucchini	3.9586233999998512		1.6041949000000386	0.24931350000042585	6.141319199999998
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	94	1040	panda	3.9837354000010237		1.9397484999999506	0.24995919999946636	5.880333099999916
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	95	1061	taco	3.99229220000052	3.9953738000003796	1.653835699999945	0.2494098999995913	6.125422600000093
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	96	1107	omelet	3.9505888000003324		1.8901521999996476	0.24943890000031388	6.191517100000965
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	97	1086	pasta	3.911905699998897		1.9983231000005617	0.2495665000005829	6.088266400000066
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	98	1010	pineapple	3.858232699999462		1.933728200000587	0.249034099999335	5.673939399998744
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	99	1127	space_shuttle	3.982852800000728		1.5728394999987358	0.24950660000013158	5.82392450000043
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	100	1155	kale	3.993415500000083		1.5985059000004185	0.2541828000003079	26.681162799999584
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	101	1152	speedboat	3.9848752000007153		1.771270899999763	0.24957259999973758	6.087529000000359
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	102	1008	keyboard	3.987474700000348	3.990073700000721	1.8600396999991062	0.249706900000092	6.117987700000413
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	103	1042	eagle	3.9888845999994373	3.9914036000000124	1.8875291000003926	0.2483620000002702	6.1722188999992795
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	104	1028	meatball	3.9613425000006828		1.9415242999994007	0.24963729999944917	6.015388100000564
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	105	1062	antelope	3.994649700000082		1.811131999999816	0.24965549999978975	6.079971399999522
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	106	1085	frog	3.9909684000003836		1.842340599999261	0.24964819999968313	6.023589600000378
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	107	1074	cobra	3.9815301999997246		1.7895163000002867	0.24950540000099863	6.2143716000000495
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	108	1103	blazer	3.975262599999951		1.9899310000000696	0.24957979999999225	6.213213500000165
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	109	1017	carrot	3.984559999999874		1.9954115000000456	0.24969060000057652	5.828540799999246
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	110	1126	helicopter	3.989154000000781		1.6011459999999715	0.24984719999974914	5.887140200000431
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	111	1106	swordfish	3.9912514999996347		1.6550426000003426	0.24955360000058135	6.073997299999974
P06	lab_data/P06/P06_EEG_recon_2026-06-08_09h54.33.227.csv	112	1068	radio	3.92436699999962		1.8404465000003256	0.24920010000005277	5.693824599999971
