subject_folder	channel	freq_hz	psd_uV2_per_Hz
P04	P4	63.000000	1.37541637741e-05
P04	P4	64.000000	4.69255646749e-05
P04	P4	65.000000	1.62537580763e-05
P04	P4	66.000000	6.31244765827e-05
P04	P4	67.000000	0.000117052128189
P04	P4	68.000000	0.000105372651888
P04	P4	69.000000	7.12024557288e-05
P04	P4	70.000000	4.12150802731e-05
P04	P4	71.000000	5.14971470693e-05
P04	P4	72.000000	5.22916388945e-06
P04	P4	73.000000	2.63007714238e-05
P04	P4	74.000000	2.77256162917e-07
P04	P4	75.000000	1.24791458802e-05
P04	P4	76.000000	8.6755007942e-06
P04	P4	77.000000	2.77089420706e-05
P04	P4	78.000000	1.5050914044e-05
P04	P4	79.000000	8.79520011949e-05
P04	P4	80.000000	8.28606334835e-06
P04	AF4	1.000000	0.938567280769
P04	AF4	2.000000	0.122667059302
P04	AF4	3.000000	0.00509059522301
P04	AF4	4.000000	0.00397621048614
P04	AF4	5.000000	0.00913131982088
P04	AF4	6.000000	0.0173748359084
P04	AF4	7.000000	0.00834167841822
P04	AF4	8.000000	0.00772055704147
P04	AF4	9.000000	0.0039911926724
P04	AF4	10.000000	0.00130496674683
P04	AF4	11.000000	0.00363564817235
P04	AF4	12.000000	0.000174209548277
P04	AF4	13.000000	0.000788553501479
P04	AF4	14.000000	0.000943742576055
P04	AF4	15.000000	0.00265220343135
P04	AF4	16.000000	0.000641330494545
P04	AF4	17.000000	4.92106701131e-05
P04	AF4	18.000000	0.0027510561049
P04	AF4	19.000000	0.00459160236642
P04	AF4	20.000000	0.00173964619171
P04	AF4	21.000000	0.00411500455812
P04	AF4	22.000000	0.00274677062407
P04	AF4	23.000000	0.00923625659198
P04	AF4	24.000000	0.00222154613584
P04	AF4	25.000000	0.0034944517538
P04	AF4	26.000000	0.00324957841076
P04	AF4	27.000000	0.00101368059404
P04	AF4	28.000000	0.000447969388915
P04	AF4	29.000000	0.000770387123339
P04	AF4	30.000000	0.000366279942682
P04	AF4	31.000000	0.000183361742529
P04	AF4	32.000000	0.00104363891296
P04	AF4	33.000000	0.000124247715576
P04	AF4	34.000000	0.000505270727444
P04	AF4	35.000000	0.0014132198412
P04	AF4	36.000000	0.000425377889769
P04	AF4	37.000000	0.000626004068181
P04	AF4	38.000000	0.000218164568651
P04	AF4	39.000000	0.000827375566587
P04	AF4	40.000000	0.000685362028889
P04	AF4	41.000000	0.000505509902723
P04	AF4	42.000000	0.000790275866166
P04	AF4	43.000000	0.000540345849004
P04	AF4	44.000000	0.000351317605237
P04	AF4	45.000000	0.000563518551644
P04	AF4	46.000000	0.000678909593262
P04	AF4	47.000000	0.000381595164072
P04	AF4	48.000000	3.95293027395e-05
P04	AF4	49.000000	0.000556293991394
P04	AF4	50.000000	0.00113742449321
P04	AF4	51.000000	0.00104896654375
P04	AF4	52.000000	0.000263373920461
P04	AF4	53.000000	0.0010333803948
P04	AF4	54.000000	0.000583282671869
P04	AF4	55.000000	0.00157783413306
P04	AF4	56.000000	2.56474286289e-05
P04	AF4	57.000000	0.000476971676107
