subject_folder	channel	band	bandpower_uV2
P07	Fp1	theta_4_8	0.115900631994
P07	Fp1	alpha_8_13	0.159382797778
P07	Fp1	beta_13_30	0.0230521569465
P07	Fp1	low_gamma_30_45	0.0103704786161
P07	AF3	delta_1_4	0.567127339542
P07	AF3	theta_4_8	0.136905638501
P07	AF3	alpha_8_13	0.0804313216358
P07	AF3	beta_13_30	0.0533802018617
P07	AF3	low_gamma_30_45	0.0161955394506
P07	FC2	delta_1_4	0.526670500636
P07	FC2	theta_4_8	0.0242821106222
P07	FC2	alpha_8_13	0.0258688824251
P07	FC2	beta_13_30	0.02217136728
P07	FC2	low_gamma_30_45	0.00488080913419
P07	Cz	delta_1_4	0.508204743266
P07	Cz	theta_4_8	0.0144697029609
P07	Cz	alpha_8_13	0.00876883484307
P07	Cz	beta_13_30	0.0184118257894
P07	Cz	low_gamma_30_45	0.0083430585255
P07	CP2	delta_1_4	0.111315444112
P07	CP2	theta_4_8	0.0114407804795
P07	CP2	alpha_8_13	0.0333826695569
P07	CP2	beta_13_30	0.0126809886278
P07	CP2	low_gamma_30_45	0.00353811041714
P07	PO3	delta_1_4	0.476411752403
P07	PO3	theta_4_8	0.0551512739621
P07	PO3	alpha_8_13	0.0369875179604
P07	PO3	beta_13_30	0.0105170312017
P07	PO3	low_gamma_30_45	0.0029572069252
P07	O1	delta_1_4	0.544446453452
P07	O1	theta_4_8	0.0612779865041
P07	O1	alpha_8_13	0.0362174042966
P07	O1	beta_13_30	0.0136802196648
P07	O1	low_gamma_30_45	0.00516844261438
P07	Oz	delta_1_4	0.590191721916
P07	Oz	theta_4_8	0.0641834558919
P07	Oz	alpha_8_13	0.0389092126861
P07	Oz	beta_13_30	0.0231386163214
P07	Oz	low_gamma_30_45	0.00310223899396
P07	O2	delta_1_4	0.616592474282
P07	O2	theta_4_8	0.0661019473337
P07	O2	alpha_8_13	0.0357675473206
P07	O2	beta_13_30	0.0186963249653
P07	O2	low_gamma_30_45	0.00282613606396
P07	PO4	delta_1_4	0.588129974902
P07	PO4	theta_4_8	0.0743374805897
P07	PO4	alpha_8_13	0.0332837868482
P07	PO4	beta_13_30	0.0140974488168
P07	PO4	low_gamma_30_45	0.00349441639992
P07	Pz	delta_1_4	0.469122588634
P07	Pz	theta_4_8	0.0573547957465
P07	Pz	alpha_8_13	0.0381075553596
P07	Pz	beta_13_30	0.0171227661049
P07	Pz	low_gamma_30_45	0.00551619209728
P07	CP1	delta_1_4	0.0908306464553
P07	CP1	theta_4_8	0.00513321429025
P07	CP1	alpha_8_13	0.0117053402355
P07	CP1	beta_13_30	0.00821102142072
P07	CP1	low_gamma_30_45	0.00233087680863
P07	FC1	delta_1_4	0.456976294518
P07	FC1	theta_4_8	0.0221299966797
P07	FC1	alpha_8_13	0.00929268018808
P07	FC1	beta_13_30	0.0191382583871
P07	FC1	low_gamma_30_45	0.00433075824549
P07	P3	delta_1_4	0.495399586856
P07	P3	theta_4_8	0.0531369475648
P07	P3	alpha_8_13	0.0302185765468
P07	P3	beta_13_30	0.0193723966804
P07	P3	low_gamma_30_45	0.00473484507165
P07	C3	delta_1_4	0.153090944514
P07	C3	theta_4_8	0.0129578870256
P07	C3	alpha_8_13	0.00444018871349
P07	C3	beta_13_30	0.0103635262058
P07	C3	low_gamma_30_45	0.00176699269286
P07	F3	delta_1_4	0.547026053071
P07	F3	theta_4_8	0.124480879866
P07	F3	alpha_8_13	0.0751289539039
P07	F3	beta_13_30	0.0635475757808
P07	F3	low_gamma_30_45	0.0198740832275
P07	F7	delta_1_4	0.697815433145
P07	F7	theta_4_8	0.144125703722
P07	F7	alpha_8_13	0.118720244616
P07	F7	beta_13_30	0.0292197184172
P07	F7	low_gamma_30_45	0.0227383397287
P07	FC5	delta_1_4	0.0681112259626
P07	FC5	theta_4_8	0.0254368190654
P07	FC5	alpha_8_13	0.0287207083311
P07	FC5	beta_13_30	0.0159507572971
P07	FC5	low_gamma_30_45	0.00706906248161
P07	CP5	delta_1_4	0.0161779522896
P07	CP5	theta_4_8	0.00831283582374
P07	CP5	alpha_8_13	0.00443164166063
P07	CP5	beta_13_30	0.00719026627849
P07	CP5	low_gamma_30_45	0.00102232550853
P07	T7	delta_1_4	0.0420451741666
P07	T7	theta_4_8	0.0161990234628
P07	T7	alpha_8_13	0.0191152603365
P07	T7	beta_13_30	0.0238401013485
P07	T7	low_gamma_30_45	0.00770650309641
P07	P7	delta_1_4	0.0236930446699
P07	P7	theta_4_8	0.0196642808151
P07	P7	alpha_8_13	0.00563447049353
P07	P7	beta_13_30	0.00986791530886
P07	P7	low_gamma_30_45	0.00290158738244
melina	P8	delta_1_4	0.924534931779
melina	P8	theta_4_8	0.0305334720761
melina	P8	alpha_8_13	0.0108183181146
melina	P8	beta_13_30	0.049030322727
melina	P8	low_gamma_30_45	0.00756546196862
melina	T8	delta_1_4	0.192122321576
